Latent_1,Latent_2,Cluster
6.8774414,4.236088,2
7.9857416,4.9271917,2
7.4227786,4.6422462,2
7.2876225,4.648635,2
-2.6175683,-0.03757693,0
2.540348,2.2834194,1
2.0762591,1.915306,1
-2.665901,-0.0041817576,0
-2.6265483,-0.103875175,0
-2.6216,-0.08601965,0
-2.6791089,-0.08447005,0
-2.611057,-0.068887934,0
-2.6243026,-0.06837426,0
2.1865757,2.0630875,1
6.2779636,3.9112816,2
-2.723551,-0.09129013,0
-2.6263745,-0.043966427,0
-2.6417298,-0.08990945,0
-2.7037294,-0.12398483,0
6.4567595,3.8240259,2
-2.542991,-0.02049388,0
2.200027,2.018508,1
-2.5821683,-0.09931226,0
-2.6971056,-0.04398276,0
-2.61573,-0.08164455,0
-2.553332,-0.02389194,0
2.2985234,1.7052299,1
-2.6447754,0.0038859695,0
1.8054632,1.8029809,1
-2.7348933,-0.08519401,0
2.0256295,1.9207709,1
2.044363,1.8358003,1
2.3607893,2.0102382,1
-2.5819197,-0.057539836,0
2.05455,1.7372915,1
-2.630348,-0.089192644,0
-2.6269019,-0.09817971,0
6.448078,4.034871,2
6.859002,4.3501863,2
7.0243416,4.470428,2
7.0552583,4.3333464,2
-2.6439464,0.03359346,0
-2.5881078,-0.07299782,0
6.835259,4.300766,2
1.5040586,1.7061946,1
2.2099664,2.040331,1
2.0353725,1.9574462,1
2.4231517,2.218549,1
2.1882722,1.932206,1
1.2921183,1.5287834,1
-2.7154918,-0.089454904,0
2.1309447,2.1387627,1
2.2535105,2.0400555,1
-2.647427,-0.09803106,0
6.2953434,3.981536,2
-2.630733,-0.10763128,0
2.3909395,1.9988519,1
2.1044314,1.925412,1
2.2450926,2.0196073,1
1.2791388,1.7026066,1
-2.6797054,-0.109962,0
-2.6068234,-0.06514861,0
-2.5999973,-0.10773434,0
1.627868,1.8074809,1
8.561556,5.0997515,2
-2.7057939,-0.13182588,0
2.332287,2.3090034,1
2.3892589,2.0431168,1
-2.654156,-0.09344436,0
-2.606201,-0.09864111,0
7.586836,4.718661,2
-2.7029178,-0.12565197,0
-2.6635647,-0.091433,0
-2.6249068,-0.059008345,0
2.1175787,1.924333,1
-2.6631024,-0.10328235,0
2.147674,1.9142103,1
-2.6295493,-0.08936252,0
-2.7031424,-0.11426218,0
2.057605,1.9539785,1
-2.5759385,-0.060308054,0
7.634656,4.738929,2
2.73543,2.2538772,1
2.5111182,2.0346336,1
-2.6506498,-0.080250755,0
2.2722461,1.9991323,1
2.1900172,2.0266833,1
1.4886432,1.5900947,1
-2.7271478,-0.05797477,0
6.4325953,4.054747,2
7.7896166,4.7844133,2
7.870999,4.865972,2
6.299969,4.4518576,2
-2.6222346,-0.08316852,0
-2.6525552,-0.10858168,0
2.0184247,1.8827876,1
-2.5944188,-0.106689826,0
2.0017,1.9207767,1
-2.52117,-0.044266656,0
-2.5758102,-0.063119665,0
2.0645413,1.9522723,1
-2.6556554,-0.08958836,0
-2.7184699,-0.099884406,0
2.083346,1.911705,1
2.0722616,2.1025758,1
-2.64694,-0.073100224,0
1.7860352,1.8706709,1
-2.7511694,-0.14405729,0
2.0779462,1.8943908,1
8.630978,5.121252,2
2.2219186,2.0239794,1
-2.6871824,-0.04000862,0
2.2780793,1.9126335,1
-2.59191,-0.10209878,0
2.083305,1.7969714,1
6.9394026,4.2627583,2
-2.5674734,-0.087846234,0
-2.543884,-0.075622335,0
-2.6499145,-0.08337714,0
-2.6989677,-0.09902389,0
-2.5256069,-0.041601017,0
-2.1136198,-0.0136704,0
-2.907498,-0.27788037,0
-2.6461003,-0.0794722,0
-2.6370287,-0.084129944,0
-2.7068598,-0.09823169,0
1.3673927,1.4740678,1
-2.5879762,-0.07675685,0
-2.6735399,-0.01599349,0
1.8244216,1.7221392,1
-2.7300682,-0.08777167,0
-2.6381829,-0.061862722,0
5.160306,3.4315462,2
-2.6610382,-0.102947965,0
